alpha	colour	x	y	group
0.1876	#306591	0.0454545454545455	0.164954900935745	1
0.1876	#306591	0.146464646464646	0.215708335216165	1
0.1876	#306591	0.247474747474748	0.246570320133362	1
0.1876	#306591	0.348484848484849	0.297991515342857	1
0.1876	#306591	0.44949494949495	0.342781071268764	1
0.1876	#306591	0.550505050505051	0.398002347516723	1
0.1876	#306591	0.651515151515152	0.435277320548789	1
0.1876	#306591	0.752525252525253	0.465378686661067	1
0.1876	#306591	0.853535353535354	0.52176207162108	1
0.1876	#306591	0.954545454545455	0.563867485341145	1
0.126	#214769	0.0454545454545455	0.0807959893430151	2
0.126	#214769	0.146464646464646	0.127456921642877	2
0.126	#214769	0.247474747474748	0.151279424805222	2
0.126	#214769	0.348484848484849	0.209867705633838	2
0.126	#214769	0.44949494949495	0.237193053103604	2
0.126	#214769	0.550505050505051	0.242819153807333	2
0.126	#214769	0.651515151515152	0.277257494483397	2
0.126	#214769	0.752525252525253	0.34482749514842	2
0.126	#214769	0.853535353535354	0.366011256957083	2
0.126	#214769	0.954545454545455	0.397377841980774	2
0.2428	#3977AA	0.0454545454545455	0.240780668990151	3
0.2428	#3977AA	0.146464646464646	0.272122029168652	3
0.2428	#3977AA	0.247474747474748	0.329739847322941	3
0.2428	#3977AA	0.348484848484849	0.383146293516099	3
0.2428	#3977AA	0.44949494949495	0.413853853291362	3
0.2428	#3977AA	0.550505050505051	0.473002917207691	3
0.2428	#3977AA	0.651515151515152	0.521282292156869	3
0.2428	#3977AA	0.752525252525253	0.562358210138977	3
0.2428	#3977AA	0.853535353535354	0.594763873519108	3
0.2428	#3977AA	0.954545454545455	0.661626755817194	3
0.2048	#3976A8	0.0454545454545455	0.18854023303422	4
0.2048	#3976A8	0.146464646464646	0.226277592063574	4
0.2048	#3976A8	0.247474747474748	0.275668525341674	4
0.2048	#3976A8	0.348484848484849	0.365076755509089	4
0.2048	#3976A8	0.44949494949495	0.397004241362874	4
0.2048	#3976A8	0.550505050505051	0.439116823932842	4
0.2048	#3976A8	0.651515151515152	0.491895427697344	4
0.2048	#3976A8	0.752525252525253	0.539709038542545	4
0.2048	#3976A8	0.853535353535354	0.59369104308798	4
0.2048	#3976A8	0.954545454545455	0.656030952294147	4
0.1676	#2C5D86	0.0454545454545455	0.137770525328311	5
0.1676	#2C5D86	0.146464646464646	0.172789759157141	5
0.1676	#2C5D86	0.247474747474748	0.209668167520609	5
0.1676	#2C5D86	0.348484848484849	0.255388056666051	5
0.1676	#2C5D86	0.44949494949495	0.298827504949528	5
0.1676	#2C5D86	0.550505050505051	0.348734867108193	5
0.1676	#2C5D86	0.651515151515152	0.388386332246102	5
0.1676	#2C5D86	0.752525252525253	0.408683121475106	5
0.1676	#2C5D86	0.853535353535354	0.461541793121582	5
0.1676	#2C5D86	0.954545454545455	0.518845533372307	5
0.2252	#3C7DB2	0.0454545454545455	0.216694922731745	6
0.2252	#3C7DB2	0.146464646464646	0.286040879923012	6
0.2252	#3C7DB2	0.247474747474748	0.338310286625333	6
0.2252	#3C7DB2	0.348484848484849	0.38295867072004	6
0.2252	#3C7DB2	0.44949494949495	0.436021300951912	6
0.2252	#3C7DB2	0.550505050505051	0.500137731705574	6
0.2252	#3C7DB2	0.651515151515152	0.55102647055632	6
0.2252	#3C7DB2	0.752525252525253	0.574860035996578	6
0.2252	#3C7DB2	0.853535353535354	0.657372796048205	6
0.2252	#3C7DB2	0.954545454545455	0.692949709774706	6
0.1732	#336B9A	0.0454545454545455	0.145610301118634	7
0.1732	#336B9A	0.146464646464646	0.211018335832427	7
0.1732	#336B9A	0.247474747474748	0.242706419168054	7
0.1732	#336B9A	0.348484848484849	0.301883994784341	7
0.1732	#336B9A	0.44949494949495	0.374351267594888	7
0.1732	#336B9A	0.550505050505051	0.375893723084534	7
0.1732	#336B9A	0.651515151515152	0.450597094087138	7
0.1732	#336B9A	0.752525252525253	0.515414962080971	7
0.1732	#336B9A	0.853535353535354	0.566974413099923	7
0.1732	#336B9A	0.954545454545455	0.598134060962915	7
0.2144	#28547B	0.0454545454545455	0.201652208921698	8
0.2144	#28547B	0.146464646464646	0.205278390067082	8
0.2144	#28547B	0.247474747474748	0.275787153406269	8
0.2144	#28547B	0.348484848484849	0.268394157715973	8
0.2144	#28547B	0.44949494949495	0.320951687394966	8
0.2144	#28547B	0.550505050505051	0.343707793868781	8
0.2144	#28547B	0.651515151515152	0.37968140667134	8
0.2144	#28547B	0.752525252525253	0.41691302550264	8
0.2144	#28547B	0.853535353535354	0.433798338831435	8
0.2144	#28547B	0.954545454545455	0.471354608048234	8
0.1432	#2B5B84	0.0454545454545455	0.104374449244896	9
0.1432	#2B5B84	0.146464646464646	0.168071750905808	9
0.1432	#2B5B84	0.247474747474748	0.210351999525877	9
0.1432	#2B5B84	0.348484848484849	0.25321729532413	9
0.1432	#2B5B84	0.44949494949495	0.283177191160542	9
0.1432	#2B5B84	0.550505050505051	0.333938665374549	9
0.1432	#2B5B84	0.651515151515152	0.382188215273315	9
0.1432	#2B5B84	0.752525252525253	0.42630310139049	9
0.1432	#2B5B84	0.853535353535354	0.465025086365208	9
0.1432	#2B5B84	0.954545454545455	0.509650591049746	9
0.1364	#132B43	0.0454545454545455	0.0950029009449121	10
0.1364	#132B43	0.146464646464646	0.104886860569639	10
0.1364	#132B43	0.247474747474748	0.112908643084046	10
