colour	linetype	x	y	group	showSelectedlegendlinetype	showSelectedlegendcolour
#F8766D	22	0.0454545454545455	0.220801218080763	1	odd	1
#F8766D	22	0.146464646464646	0.286152913923645	1	odd	1
#F8766D	22	0.247474747474748	0.384567087953825	1	odd	1
#F8766D	22	0.348484848484849	0.470925792134079	1	odd	1
#F8766D	22	0.44949494949495	0.530227657092273	1	odd	1
#F8766D	22	0.550505050505051	0.615442437356948	1	odd	1
#F8766D	22	0.651515151515152	0.709901344719475	1	odd	1
#F8766D	22	0.752525252525253	0.730560634527038	1	odd	1
#F8766D	22	0.853535353535354	0.807969136458692	1	odd	1
#F8766D	22	0.954545454545455	0.954545454545455	1	odd	1
#A3A500	solid	0.0454545454545455	0.286208790203576	2	even	2
#A3A500	solid	0.146464646464646	0.390600820808805	2	even	2
#A3A500	solid	0.247474747474748	0.469406542154176	2	even	2
#A3A500	solid	0.348484848484849	0.523362494777145	2	even	2
#A3A500	solid	0.44949494949495	0.588075796412963	2	even	2
#A3A500	solid	0.550505050505051	0.691055529135081	2	even	2
#A3A500	solid	0.651515151515152	0.768536266362072	2	even	2
#A3A500	solid	0.752525252525253	0.793824291997859	2	even	2
#A3A500	solid	0.853535353535354	0.790428660250952	2	even	2
#A3A500	solid	0.954545454545455	0.902353732124055	2	even	2
#00BF7D	22	0.0454545454545455	0.326609030424316	3	odd	3
#00BF7D	22	0.146464646464646	0.40031359876197	3	odd	3
#00BF7D	22	0.247474747474748	0.450840480466666	3	odd	3
#00BF7D	22	0.348484848484849	0.54873069223922	3	odd	3
#00BF7D	22	0.44949494949495	0.612823346452354	3	odd	3
#00BF7D	22	0.550505050505051	0.605305036087726	3	odd	3
#00BF7D	22	0.651515151515152	0.762365961793355	3	odd	3
#00BF7D	22	0.752525252525253	0.741102647620116	3	odd	3
#00BF7D	22	0.853535353535354	0.826242232431605	3	odd	3
#00BF7D	22	0.954545454545455	0.883127491758019	3	odd	3
#00B0F6	solid	0.0454545454545455	0.0454545454545454	4	even	4
#00B0F6	solid	0.146464646464646	0.212748355990592	4	even	4
#00B0F6	solid	0.247474747474748	0.190534794627563	4	even	4
#00B0F6	solid	0.348484848484849	0.312955010410003	4	even	4
#00B0F6	solid	0.44949494949495	0.3479183822866	4	even	4
#00B0F6	solid	0.550505050505051	0.474759211191461	4	even	4
#00B0F6	solid	0.651515151515152	0.532418899053279	4	even	4
#00B0F6	solid	0.752525252525253	0.578231914878272	4	even	4
#00B0F6	solid	0.853535353535354	0.666840802215355	4	even	4
#00B0F6	solid	0.954545454545455	0.747730095310256	4	even	4
#E76BF3	22	0.0454545454545455	0.172521811245985	5	odd	5
#E76BF3	22	0.146464646464646	0.194992945556328	5	odd	5
#E76BF3	22	0.247474747474748	0.331340649921909	5	odd	5
#E76BF3	22	0.348484848484849	0.380766061619106	5	odd	5
#E76BF3	22	0.44949494949495	0.470460623435129	5	odd	5
#E76BF3	22	0.550505050505051	0.548458486205707	5	odd	5
#E76BF3	22	0.651515151515152	0.617692450114978	5	odd	5
#E76BF3	22	0.752525252525253	0.736890431385182	5	odd	5
#E76BF3	22	0.853535353535354	0.73186848098661	5	odd	5
#E76BF3	22	0.954545454545455	0.828073292381167	5	odd	5
