colour	fill	x	y	showSelectedlegendcolour	showSelectedlegendfill
#00BF7D	#00BF7D	0.5	0.528830423961677	60	60
#F8766D	#F8766D	0.115384615384615	0.127200018594971	20	20
#00BF7D	#00BF7D	0.5	0.516513893873763	60	60
#00BF7D	#00BF7D	0.5	0.642651052205408	60	60
#00BF7D	#00BF7D	0.5	0.517957594181965	60	60
#A3A500	#A3A500	0.307692307692308	0.430074013433914	40	40
#A3A500	#A3A500	0.307692307692308	0.223289766737109	40	40
#A3A500	#A3A500	0.307692307692308	0.390761118668646	40	40
#F8766D	#F8766D	0.115384615384615	0.138492541799256	20	20
#A3A500	#A3A500	0.307692307692308	0.472093733686746	40	40
#00BF7D	#00BF7D	0.5	0.466845611064698	60	60
#A3A500	#A3A500	0.307692307692308	0.411468383743423	40	40
#00BF7D	#00BF7D	0.5	0.615716386945877	60	60
#00BF7D	#00BF7D	0.5	0.588417995117671	60	60
#F8766D	#F8766D	0.115384615384615	0.235360501744039	20	20
#A3A500	#A3A500	0.307692307692308	0.353800089460811	40	40
#A3A500	#A3A500	0.307692307692308	0.371697770878306	40	40
#A3A500	#A3A500	0.307692307692308	0.452345805633414	40	40
#F8766D	#F8766D	0.115384615384615	0.0687439048162314	20	20
#F8766D	#F8766D	0.115384615384615	0.150313628291815	20	20
#F8766D	#F8766D	0.115384615384615	0.26268616911169	20	20
#A3A500	#A3A500	0.307692307692308	0.326570314678643	40	40
#00BF7D	#00BF7D	0.5	0.478379616229082	60	60
#00BF7D	#00BF7D	0.5	0.585619393250827	60	60
#00BF7D	#00BF7D	0.5	0.484499203343855	60	60
#A3A500	#A3A500	0.307692307692308	0.398629380451983	40	40
#00BF7D	#00BF7D	0.5	0.453924518337457	60	60
#A3A500	#A3A500	0.307692307692308	0.383282710701253	40	40
#A3A500	#A3A500	0.307692307692308	0.413767208756948	40	40
#00BF7D	#00BF7D	0.5	0.485242898780744	60	60
#00BF7D	#00BF7D	0.5	0.454327077216851	60	60
#00BF7D	#00BF7D	0.5	0.626296585887458	60	60
#00BF7D	#00BF7D	0.5	0.449494626303469	60	60
#A3A500	#A3A500	0.307692307692308	0.509666023247268	40	40
#00BF7D	#00BF7D	0.5	0.503662354325635	60	60
#F8766D	#F8766D	0.115384615384615	0.198538200793959	20	20
#A3A500	#A3A500	0.307692307692308	0.317036655124665	40	40
#00BF7D	#00BF7D	0.5	0.479096814029093	60	60
#A3A500	#A3A500	0.307692307692308	0.406243340646803	40	40
#00BF7D	#00BF7D	0.5	0.652808558790292	60	60
#00B0F6	#00B0F6	0.692307692307692	0.842795485276226	80	80
#00BF7D	#00BF7D	0.5	0.474851050441773	60	60
#00BF7D	#00BF7D	0.5	0.628967612168052	60	60
#00B0F6	#00B0F6	0.692307692307692	0.849904171877108	80	80
#A3A500	#A3A500	0.307692307692308	0.241644663346883	40	40
#A3A500	#A3A500	0.307692307692308	0.306064510438727	40	40
#A3A500	#A3A500	0.307692307692308	0.308613423102174	40	40
#00BF7D	#00BF7D	0.5	0.591164033464524	60	60
#F8766D	#F8766D	0.115384615384615	0.178688088559785	20	20
#F8766D	#F8766D	0.115384615384615	0.287210217442939	20	20
#F8766D	#F8766D	0.115384615384615	0.148069907402357	20	20
#A3A500	#A3A500	0.307692307692308	0.316482391992364	40	40
#00BF7D	#00BF7D	0.5	0.614797145419201	60	60
#00BF7D	#00BF7D	0.5	0.532926785508013	60	60
#00BF7D	#00BF7D	0.5	0.496694885650245	60	60
#F8766D	#F8766D	0.115384615384615	0.0454545454545455	20	20
#F8766D	#F8766D	0.115384615384615	0.202221411252695	20	20
#00BF7D	#00BF7D	0.5	0.698696627463977	60	60
#A3A500	#A3A500	0.307692307692308	0.402391763969161	40	40
#F8766D	#F8766D	0.115384615384615	0.106528439111504	20	20
#00BF7D	#00BF7D	0.5	0.546415222213748	60	60
#A3A500	#A3A500	0.307692307692308	0.413438317685203	40	40
#A3A500	#A3A500	0.307692307692308	0.390014395222101	40	40
#00BF7D	#00BF7D	0.5	0.631813554069243	60	60
#00BF7D	#00BF7D	0.5	0.689957087236531	60	60
#00BF7D	#00BF7D	0.5	0.622156473827253	60	60
#00B0F6	#00B0F6	0.692307692307692	0.954545454545455	80	80
#00BF7D	#00BF7D	0.5	0.681410887421464	60	60
#A3A500	#A3A500	0.307692307692308	0.284681453360174	40	40
#00BF7D	#00BF7D	0.5	0.564736443405875	60	60
#A3A500	#A3A500	0.307692307692308	0.257507723685759	40	40
#00BF7D	#00BF7D	0.5	0.478079054616144	60	60
#00BF7D	#00BF7D	0.5	0.597833817443034	60	60
#A3A500	#A3A500	0.307692307692308	0.419254766656636	40	40
#00BF7D	#00BF7D	0.5	0.658112990344357	60	60
#00BF7D	#00BF7D	0.5	0.541183063328036	60	60
#A3A500	#A3A500	0.307692307692308	0.370071269875624	40	40
#A3A500	#A3A500	0.307692307692308	0.323318848248766	40	40
#00BF7D	#00BF7D	0.5	0.665230878737781	60	60
#A3A500	#A3A500	0.307692307692308	0.331962070938851	40	40
#F8766D	#F8766D	0.115384615384615	0.246714224701735	20	20
#A3A500	#A3A500	0.307692307692308	0.232357963856968	40	40
#00BF7D	#00BF7D	0.5	0.549141907053563	60	60
#E76BF3	#E76BF3	0.884615384615385	0.938858920213626	100	100
#A3A500	#A3A500	0.307692307692308	0.244478947321702	40	40
#00B0F6	#00B0F6	0.692307692307692	0.810072635490014	80	80
#00BF7D	#00BF7D	0.5	0.571609546717668	60	60
#00BF7D	#00BF7D	0.5	0.673021022176022	60	60
#A3A500	#A3A500	0.307692307692308	0.430923994018439	40	40
#00B0F6	#00B0F6	0.692307692307692	0.807598873283705	80	80
#A3A500	#A3A500	0.307692307692308	0.297494549966815	40	40
#00BF7D	#00BF7D	0.5	0.58049831808064	60	60
#00BF7D	#00BF7D	0.5	0.508009999760485	60	60
#A3A500	#A3A500	0.307692307692308	0.46496490523963	40	40
#00BF7D	#00BF7D	0.5	0.542188821477779	60	60
#A3A500	#A3A500	0.307692307692308	0.484524871131844	40	40
#A3A500	#A3A500	0.307692307692308	0.266409754070163	40	40
#00BF7D	#00BF7D	0.5	0.705213413519747	60	60
#00BF7D	#00BF7D	0.5	0.620035295025619	60	60
#00BF7D	#00BF7D	0.5	0.644022419163519	60	60
