alpha	x	y	density	level	piece
0.6454	0.0454545454545455	0.0454545454545455	0.000304569515331899	1	1
0.7534	0.0546372819100092	0.0454545454545455	0.000364741574958588	1	1
0.8362	0.0638200183654729	0.0454545454545455	0.000410640956862415	1	1
0.8812	0.0730027548209366	0.0454545454545455	0.00043549062227469	1	1
0.8812	0.0821854912764004	0.0454545454545455	0.000436132887427473	1	1
0.8416	0.0913682277318641	0.0454545454545455	0.00041373544051494	1	1
0.7696	0.100550964187328	0.0454545454545455	0.000373173265822324	1	1
0.676	0.109733700642792	0.0454545454545455	0.000321427369278949	1	1
0.577	0.118916437098255	0.0454545454545455	0.000265697118025449	1	1
0.4798	0.128099173553719	0.0454545454545455	0.000211903988558488	1	1
0.3934	0.137281910009183	0.0454545454545455	0.000163948939551541	1	1
0.3214	0.146464646464646	0.0454545454545455	0.000123700985123132	1	1
0.2638	0.15564738292011	0.0454545454545455	9.14464842557523e-05	1	1
0.2188	0.164830119375574	0.0454545454545455	6.64852653613932e-05	1	1
0.1846	0.174012855831038	0.0454545454545455	4.76569059568814e-05	1	1
0.1612	0.183195592286501	0.0454545454545455	3.37091174654711e-05	1	1
0.1414	0.192378328741965	0.0454545454545455	2.35081641218168e-05	1	1
0.1288	0.201561065197429	0.0454545454545455	1.61269749893322e-05	1	1
0.1198	0.210743801652893	0.0454545454545455	1.085222024433e-05	1	1
0.1126	0.219926538108356	0.0454545454545455	7.14805837858429e-06	1	1
0.109	0.22910927456382	0.0454545454545455	4.60786852862081e-06	1	1
0.1054	0.238292011019284	0.0454545454545455	2.91482820047935e-06	1	1
0.1036	0.247474747474748	0.0454545454545455	1.81886183298697e-06	1	1
0.1018	0.256657483930211	0.0454545454545455	1.12643150035125e-06	1	1
0.1018	0.265840220385675	0.0454545454545455	6.9517569717405e-07	1	1
0.1	0.275022956841139	0.0454545454545455	4.27297206742343e-07	1	1
0.1	0.284205693296602	0.0454545454545455	2.6010038101172e-07	1	1
0.1	0.293388429752066	0.0454545454545455	1.55408625784786e-07	1	1
0.1	0.30257116620753	0.0454545454545455	9.03259972526911e-08	1	1
0.1	0.311753902662994	0.0454545454545455	5.07253282172642e-08	1	1
0.1	0.320936639118457	0.0454545454545455	2.74346289406539e-08	1	1
0.1	0.330119375573921	0.0454545454545455	1.42965825187001e-08	1	1
0.1	0.339302112029385	0.0454545454545455	7.20525504435445e-09	1	1
0.1	0.348484848484849	0.0454545454545455	3.53352558702427e-09	1	1
0.1	0.357667584940312	0.0454545454545455	1.69812170434621e-09	1	1
0.1	0.366850321395776	0.0454545454545455	8.04556337683121e-10	1	1
0.1	0.37603305785124	0.0454545454545455	3.76983813667525e-10	1	1
0.1	0.385215794306703	0.0454545454545455	1.74521606085358e-10	1	1
0.1	0.394398530762167	0.0454545454545455	7.94403614435477e-11	1	1
0.1	0.403581267217631	0.0454545454545455	3.52970685907659e-11	1	1
0.1	0.412764003673095	0.0454545454545455	1.51892692125426e-11	1	1
0.1	0.421946740128558	0.0454545454545455	6.28869778227305e-12	1	1
0.1	0.431129476584022	0.0454545454545455	2.49558005449195e-12	1	1
0.1	0.440312213039486	0.0454545454545455	9.50203729529411e-13	1	1
0.1	0.44949494949495	0.0454545454545455	3.50211418985472e-13	1	1
0.1	0.458677685950413	0.0454545454545455	1.27554906842726e-13	1	1
0.1	0.467860422405877	0.0454545454545455	4.75194787832767e-14	1	1
0.1	0.477043158861341	0.0454545454545455	1.88259392150851e-14	1	1
0.1	0.486225895316804	0.0454545454545455	8.08404859286715e-15	1	1
0.1	0.495408631772268	0.0454545454545455	3.69671968370204e-15	1	1
0.1	0.504591368227732	0.0454545454545455	1.72864081969083e-15	1	1
0.1	0.513774104683196	0.0454545454545455	7.95257533901026e-16	1	1
0.1	0.522956841138659	0.0454545454545455	3.50679074022266e-16	1	1
0.1	0.532139577594123	0.0454545454545455	1.46026655858507e-16	1	1
0.1	0.541322314049587	0.0454545454545455	5.69620703168152e-17	1	1
0.1	0.55050505050505	0.0454545454545455	2.07249653471527e-17	1	1
0.1	0.559687786960514	0.0454545454545455	7.01635927135923e-18	1	1
0.1	0.568870523415978	0.0454545454545455	2.20713248073782e-18	1	1
0.1	0.578053259871442	0.0454545454545455	6.44564053012421e-19	1	1
0.1	0.587235996326905	0.0454545454545455	1.74654850699551e-19	1	1
0.1	0.596418732782369	0.0454545454545455	4.38943217732239e-20	1	1
0.1	0.605601469237833	0.0454545454545455	1.02290785383748e-20	1	1
0.1	0.614784205693297	0.0454545454545455	2.20997001334907e-21	1	1
0.1	0.62396694214876	0.0454545454545455	4.42590675620791e-22	1	1
0.1	0.633149678604224	0.0454545454545455	8.21569922760193e-23	1	1
0.1	0.642332415059688	0.0454545454545455	1.41346446941451e-23	1	1
0.1	0.651515151515152	0.0454545454545455	2.25373626119874e-24	1	1
0.1	0.660697887970615	0.0454545454545455	3.33030949127234e-25	1	1
0.1	0.669880624426079	0.0454545454545455	4.56056851013405e-26	1	1
0.1	0.679063360881543	0.0454545454545455	5.78760366666918e-27	1	1
0.1	0.688246097337006	0.0454545454545455	6.80641820389154e-28	1	1
0.1	0.69742883379247	0.0454545454545455	7.41779255082798e-29	1	1
0.1	0.706611570247934	0.0454545454545455	7.4914209570598e-30	1	1
0.1	0.715794306703398	0.0454545454545455	7.01108508567229e-31	1	1
