colour	fill	size	x	y
#F8766D	#F8766D	3.13	0.798777392883132	0.56268505805022
#F8766D	#F8766D	2.71	0.739008033774289	0.588703483530736
#F8766D	#F8766D	1.91	0.561638444293587	0.633182527896055
#F8766D	#F8766D	2.3	0.666742934746692	0.617826613685103
#F8766D	#F8766D	2.44	0.542151447742467	0.689395413819762
#F8766D	#F8766D	1.76	0.627837567923112	0.552208856503958
#F8766D	#F8766D	2.93	0.763261318660767	0.602823903105637
#F8766D	#F8766D	1.49	0.559530551489789	0.588741623923735
#F8766D	#F8766D	2.16	0.57114523757068	0.656552406943918
#F8766D	#F8766D	2.36	0.595674752870065	0.67110612378356
#F8766D	#F8766D	2.07	0.654967190898507	0.588888135280738
#F8766D	#F8766D	3.43	0.646647335452886	0.770582219437966
#F8766D	#F8766D	2.34	0.637994880640688	0.649175207919922
#F8766D	#F8766D	1.2	0.532358882977975	0.564674783175821
#F8766D	#F8766D	2.39	0.650605587040069	0.646757234840459
#F8766D	#F8766D	3.41	0.788120012004249	0.671699850414146
#F8766D	#F8766D	1.74	0.618359354238823	0.574152612618205
#F8766D	#F8766D	2.04	0.657297133868981	0.575268188153581
#F8766D	#F8766D	1.5	0.5662996864853	0.58698063624356
#F8766D	#F8766D	2.06	0.588657583325125	0.641034186443556
#F8766D	#F8766D	1.5	0.579422880685982	0.577333261025122
#F8766D	#F8766D	2.99	0.626253959894592	0.72921387940819
#F8766D	#F8766D	2.47	0.577383514963701	0.688022965696848
#F8766D	#F8766D	2.31	0.662199558973754	0.62413737811145
#F8766D	#F8766D	2.15	0.63889311113543	0.622517916505769
#F8766D	#F8766D	3.25	0.556769307122363	0.77001232133951
#F8766D	#F8766D	2.37	0.690177018753234	0.599663667507411
#F8766D	#F8766D	3.09	0.635451161984405	0.736759313012603
#F8766D	#F8766D	2.23	0.687454980089498	0.546556391759448
#F8766D	#F8766D	2.37	0.694810975880587	0.590988041924947
#F8766D	#F8766D	3.4	0.624919620517378	0.773616063384199
#F8766D	#F8766D	2.78	0.57343844605676	0.720147796484346
#F8766D	#F8766D	2.54	0.569074811257204	0.696579091823455
#F8766D	#F8766D	1.35	0.536330940824931	0.579449923829678
#F8766D	#F8766D	3.13	0.578454266215387	0.755598661036756
#F8766D	#F8766D	3.38	0.671040888984992	0.755277193210882
#F8766D	#F8766D	2.21	0.555050800698958	0.664742821523448
#F8766D	#F8766D	1.39	0.583273990009286	0.543992078117665
#F8766D	#F8766D	3.98	0.715511762886223	0.80404990609531
#F8766D	#F8766D	2.11	0.654138510456538	0.597718507896297
#F8766D	#F8766D	3.99	0.889243305993711	0.634980522425201
#F8766D	#F8766D	3.72	0.822616274879814	0.687284337305103
#F8766D	#F8766D	2.68	0.548145914845715	0.713065555386953
#F8766D	#F8766D	1.87	0.532482196001778	0.631844819727586
#F8766D	#F8766D	2.96	0.554732353461384	0.740765630195825
#F8766D	#F8766D	2.61	0.683605801029493	0.651745934250902
#F8766D	#F8766D	2.18	0.678395067582074	0.567478266658754
#F8766D	#F8766D	3.47	0.569165899886396	0.791184081645976
#F8766D	#F8766D	1.83	0.608320522711594	0.601685516613027
#F8766D	#F8766D	2.34	0.694842285902807	0.579197223487139
#F8766D	#F8766D	1.59	0.595946730145203	0.575529547927476
#F8766D	#F8766D	2.13	0.640606794183539	0.617612116715218
#F8766D	#F8766D	3.01	0.656699037480398	0.71994119606006
#F8766D	#F8766D	1.91	0.543344645389034	0.635872166287488
#F8766D	#F8766D	1.98	0.641153527719991	0.591616229928462
#F8766D	#F8766D	1.19	0.55765723316001	0.546372808940134
#F8766D	#F8766D	3.15	0.779367938491393	0.629182685697703
#F8766D	#F8766D	2.23	0.682408837819293	0.574876474008439
#F8766D	#F8766D	2.57	0.718353545862807	0.595415238696473
#F8766D	#F8766D	1.47	0.569083228305397	0.581540394462556
#F8766D	#F8766D	3.15	0.757237984068018	0.661940863892354
#F8766D	#F8766D	1.78	0.543336812585432	0.622224776570364
#F8766D	#F8766D	3.52	0.817981658423406	0.650429081636665
#F8766D	#F8766D	1.93	0.58617413353805	0.62741257529592
#F8766D	#F8766D	2.11	0.541029651953951	0.655550433044483
#F8766D	#F8766D	1.85	0.599069725879973	0.611400772417904
#F8766D	#F8766D	2.51	0.722555490380258	0.549303955299523
#F8766D	#F8766D	2.74	0.552553736630433	0.718332457197265
#F8766D	#F8766D	2.28	0.689416215665878	0.572772305674403
#F8766D	#F8766D	2.92	0.749754216581262	0.627523271280338
#F8766D	#F8766D	2.02	0.655584039433439	0.572607104327203
#F8766D	#F8766D	3.53	0.748049832173582	0.730417055095701
#F8766D	#F8766D	5.13	0.841108261389907	0.876349991736601
#F8766D	#F8766D	3.26	0.730049787352261	0.70626192879742
#F8766D	#F8766D	2.91	0.704152718911774	0.676887434410607
#F8766D	#F8766D	1.87	0.641738067393778	0.551337051028929
#F8766D	#F8766D	3.55	0.68390134013588	0.76992354541251
#F8766D	#F8766D	2.49	0.605150184513809	0.681790469159102
#F8766D	#F8766D	3.16	0.722395723223574	0.698639860371065
#F8766D	#F8766D	2.94	0.753685846536577	0.623608629863614
#F8766D	#F8766D	3.82	0.873878100643058	0.616881218591364
#F8766D	#F8766D	2.18	0.58223615931068	0.655602408328517
#F8766D	#F8766D	2.68	0.710022421258519	0.633752969926052
#F8766D	#F8766D	1.61	0.57650932268144	0.594127797595371
#F8766D	#F8766D	2.07	0.649447638510041	0.597480514044721
#F8766D	#F8766D	1.42	0.586590081552712	0.548293626357205
#F8766D	#F8766D	1.96	0.575317972089282	0.634479405949844
#F8766D	#F8766D	2.12	0.537589621397862	0.656645962933694
#F8766D	#F8766D	1.3	0.539477298451184	0.574448254103337
#F8766D	#F8766D	1.81	0.633722730299529	0.5558271743043
#F8766D	#F8766D	2.75	0.751864066097802	0.555277951147493
#F8766D	#F8766D	3.89	0.56147804142577	0.833947486410333
#F8766D	#F8766D	1.91	0.564413721314163	0.632158001047661
#F8766D	#F8766D	1.23	0.563526886550194	0.545322786353944
#F8766D	#F8766D	2.9	0.769161391009648	0.56690182226257
#F8766D	#F8766D	2.07	0.641446952259217	0.607348992933284
#F8766D	#F8766D	2.88	0.745395220430767	0.624867829214882
#F8766D	#F8766D	3.67	0.582857902753916	0.809267358848951
#F8766D	#F8766D	1.97	0.636584762503165	0.594189973421233
#F8766D	#F8766D	3.86	0.889251454537751	0.570633934255767
#F8766D	#F8766D	1.97	0.640586094725633	0.588401126391807
#F8766D	#F8766D	1.81	0.612772488189663	0.594595056155029
#F8766D	#F8766D	1.52	0.560780468461053	0.591260271692667
#F8766D	#F8766D	3.08	0.557884431922441	0.752809149972922
#F8766D	#F8766D	2.58	0.617445145924731	0.687844497802546
#F8766D	#F8766D	2.06	0.648510435864645	0.596378336420969
#F8766D	#F8766D	2.17	0.671129078708726	0.583736651028432
